"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"CIDRb1_CT_DD2var1a",8.703,45.949,23.963,39.057,395.015,16.048,105.085,207.981,27.635,0,18.519,308.887,1.001,44.278,0,49.546,27.061,22.115,16.695,117.942,200.244,16.422,61.411,0,2.069,37.786,16.551,9.378,367.392,36.46,82.358,9.979
"CIDRb1_CT_DD2var29",8.333,23.565,197.361,27.522,18.964,12.289,53.628,13.321,2.795,0,11.262,5.379,2.007,72.154,0,11.7,34.819,103.614,23.786,139.909,105.646,14.326,5.996,3.605,0,62.34,2.068,136.057,24.735,3.03,8.333,357.399
"CIDRb1_CT_DD2var31",8.001,26.856,115.854,30.604,0,1.001,39.409,67.656,16.261,2,13.847,3.091,0,18.151,0,17.99,1,52.152,149.461,72.831,347.103,16.187,36.004,0,0,2.04,3.97,64.241,2.778,65.011,0,455.495
"CIDRb1_CT_DD2var39",33.918,10.935,184.792,74.381,42.702,19.475,10.127,31.396,0,1.009,10.364,310.579,0,41.66,5.389,12.076,51.465,6.4,13.724,6.738,19.386,3.039,14.516,0,0,1.024,2.201,4.238,1.956,115.658,99.685,94.612
"CIDRb1_CT_DD2var41",75.876,18.03,10.616,10.759,47.46,5.722,54.501,8.095,0,57.297,94.706,473.461,0,0,0,2,0,1.093,166.747,83.668,48.256,5.324,8.273,4.018,1,45.433,0,84.788,56.953,27.989,84.689,595.93
"CIDRb1_CT_DD2var42",9.058,24.936,37.109,57.959,13.051,11.092,4.523,202.257,127.751,3.019,11.004,25.001,10.004,21.359,0,1212.18,49.985,76.558,35.536,18.16,65.771,49.05,79.277,0,13.826,4.173,2,11.214,0,3.072,180.392,31.579
"CIDRb1_CT_DD2var47",8.04,12.092,14.003,9.922,55.565,10.667,41.588,3.248,0,15.978,2.503,25.487,0,7.019,0.5,12.409,0,0,237.695,0,624.861,10.02,9.902,0,2.179,0,0.998,179.248,5.845,1.364,9.492,604.792
"CIDRb1_CT_DD2var9b",5.691,39.763,628.778,18.878,8.458,6.12,4.279,66.587,14.992,2.667,5.218,275.625,0,68.056,8.348,5.004,167.722,15.057,36.531,2.005,4.958,1,2.055,0,0.932,5.688,0,2,7,3.809,53.691,1
"CIDRb1_CT_HB3var01",1,14.658,46.686,26.923,196.02,10.162,44.802,89.815,11.468,0.937,45.19,4.638,0,57.888,0,389.153,7.874,148.154,363.637,152.843,0,2.139,9.001,2.056,0,0,0,42.6,50,89.697,61.387,33.179
"CIDRb1_CT_HB3var04",4.538,7.679,135.344,100.638,4.305,7.577,5.3,48.056,2.713,0,0,33.744,0,5.355,0,1.019,58.002,30.911,4.007,2.418,83.839,3.691,5.385,1.099,1,0,11.815,36.183,46.218,13.879,66.894,3.992
"CIDRb1_CT_HB3var12",2,39.188,229.013,18.496,98.436,2.117,30.384,3.016,177.838,28.746,8.842,17.706,9.997,18.247,0,109.164,29.128,138.934,36.283,106.543,0,4.824,7,0,1,0,4.293,2.813,24.429,31.375,35.635,0
"CIDRb1_CT_HB3var13",5.597,19.745,11.247,102.035,283.199,11.971,26.28,85.894,281.439,48.964,30.828,209.598,0,11.244,2.125,93.904,10.844,156.088,65.017,221.904,33.686,4.352,8.349,625.301,4.999,10.209,8.252,0,88.704,2.059,174.314,10732.67
"CIDRb1_CT_HB3var14",0,68.568,125.461,112.475,59.097,15.659,11.804,33.851,4.124,1.419,12.518,265.745,1.964,24.382,1,25.13,63.108,110.036,19.275,141.467,52.123,13.183,10.77,0,3.001,1182.507,2.707,2.096,182.583,3.877,12.096,673.733
"CIDRb1_CT_HB3var16",37.971,22.778,47.972,60.52,215.371,46.099,17.968,53.712,0,8.163,13.195,6.125,0,116.174,2.003,2.524,3.548,8.215,24.727,47.35,34.475,1.23,46.691,1.67,2.299,75.708,0.996,262.426,66.336,32.151,47.217,9.141
"CIDRb1_CT_HB3var17",1.314,12.922,181.928,40.846,26.562,8.999,21.582,38.713,8.315,10.525,15.072,0,0,9.948,2.381,12.719,11.808,0,72.161,5.084,0,0,7.489,0,2.986,362.797,0,60.884,62.603,27.609,16.679,19.119
"CIDRb1_CT_HB3var18",172.939,17.034,95.402,50.57,104.521,1.344,27.135,58.327,6.513,3.008,187.916,136.417,1,24.839,3.665,9.116,8.535,60.69,155.24,107.984,187.16,42.744,7.367,60.229,1.987,8.615,0,747.415,50.442,12.719,21.529,23.027
"CIDRb1_CT_HB3var26",3.344,24.667,65.623,108.055,53.238,3.122,12.644,79.241,9.064,33.522,86.167,1.945,0,25.874,11.783,9.5,13.617,0,114.202,28.976,4.871,4.901,15.33,0,6.677,0,0.989,95.875,27.058,3.159,193.784,46.433
"CIDRb1_CT_HB3var27",11.977,15.746,89.772,83.967,22.171,0,15.293,32.855,43.341,0,21.131,46.981,2,35.337,1.058,11.997,4.675,35.653,5.793,38.993,7.102,7.032,9.513,0,3.036,4.03,4.214,36.11,31.445,209.82,1.005,89.231
"CIDRb1_CT_HB3var28",1.05,70.284,177.408,41.254,47.83,4.968,16.088,364.929,7.931,39.417,18.175,1.438,2,28.394,7.812,2.038,0,0,68.421,4.793,32.253,3.153,42.788,6.645,0,3.055,118.167,76.024,0,26.91,60.18,16.202
"CIDRb1_CT_HB3var29",13.008,74.551,150.224,19.628,31.166,6.085,208.689,263.1,59.025,1,36.451,20.952,1,87.89,0,939.545,2.275,24.911,111.877,11.183,0,9.97,3.287,6.267,1.993,49.712,7.962,220.869,1,6.017,104.49,6.812
"CIDRb1_CT_HB3var30",0,8.402,9.286,26.107,41.319,2.767,9.535,41.224,17.149,0,8.308,39.742,6.987,9.791,2,2.443,8.502,11.552,59.635,90.788,2.721,32.373,39.531,1,0,25.158,0,0,14.112,3.23,214.921,204.973
"CIDRb1_CT_HB3var47",8.357,14.054,27.619,65.198,74.482,8.204,19.353,2.494,0,0,15.496,165.515,0,61.945,0,23.152,8.951,9.443,130.8,23.395,62.181,7.005,5.624,0,0,14.526,4.908,52.624,11.553,2.234,28.728,0
"CIDRb1_CT_IGHvar01",9.683,5.734,124.885,158.55,31.907,9.863,26.112,44.353,81.944,74.345,24.635,62.681,3,34.421,2,9.475,1.76,128.859,108.488,243.462,176.174,41.956,4.719,0,2.003,6.218,2.46,190.329,35.376,109.528,15.344,4445.781
"CIDRb1_CT_IGHvar03",11.007,1.379,0,15.07,41.842,13.082,22.484,29.981,26.337,0,7.871,50.594,34.276,23.795,0,695.237,203.415,24.083,13.078,188.585,16.309,11.731,26.998,1.19,0,7,0,130.508,58.074,93.452,5.938,1.325
"CIDRb1_CT_IGHvar04",1,0,50.962,24.523,278.352,0,13.332,15.62,4.649,3.413,10.934,2.11,0,21.675,0,39.658,25.556,33.04,18.2,125.939,2538.858,1.242,22.636,3.001,4.006,1.031,5.019,5.103,28.422,6.095,0,3.978
"CIDRb1_CT_IGHvar07",2.458,27.47,219.231,4.076,31.612,6.252,4.2,42.954,967.301,17.528,23.186,24.009,12.245,90.889,0,124.934,25.588,59.313,36.764,36.833,22.645,12.951,13.052,0,19.979,2.007,26.556,165.314,107.529,29.443,10.319,11.544
"CIDRb1_CT_IGHvar19",0,98.001,29.885,83.497,9.557,23.628,18.44,17.749,141.208,6.728,45.908,31.267,0,106.568,4.926,56.795,35.049,143.527,53.089,174.032,67.024,156.961,14.616,0,1.361,0,0,27.438,21.816,22.811,8.577,12.09
"CIDRb1_CT_IGHvar23",7.176,76.465,217.893,31.284,56.574,20.046,22.529,126.113,16.821,1.001,22.515,20.768,0,133.012,35.187,0,22.718,133.974,13.378,37.411,11.608,28.461,20.505,0,0,142.076,15.85,304.274,8.999,48.49,32.888,5.651
"CIDRb1_CT_IGHvar26",33.479,12.598,37.005,19.544,1.127,140.934,20.549,51.571,1.908,0,28.594,14.651,0,7.65,18.81,0,6.986,57.632,9.56,14.731,0,3.648,0,0,0,0,17.032,71.913,20.012,2,5.057,1177.255
"CIDRb1_CT_IGHvar27",20.829,14.542,264.026,33.287,205.869,9.103,37.49,57.825,5.031,13.741,12.105,0,0,11.236,3.95,2.02,2.169,2.223,499.861,0,0,8.534,22.57,6.604,1.082,5.09,0,114.054,23.966,6.802,6.268,1.451
"CIDRb1_CT_IGHvar38",19.536,0,17.735,25.13,132.018,13.778,33.026,71.719,8.803,35,48.964,0,0,70.102,1.001,5.184,3.875,17.079,60.117,24.354,29.608,8.975,9.184,4.235,3.609,6.345,41.868,5.235,0,7.599,6.006,22.679
"CIDRb1_CT_IGHvar40",14.099,23.055,49.464,30.169,137.359,8.117,3.63,9.334,15.007,5.718,29.173,48.225,0,14.778,7.365,4.138,5.241,59.447,21.486,75.333,9.124,17.904,22.533,0,0,9.254,0,50.412,91.451,11.021,70.571,17.692
"CIDRb1_CT_IT4var05",25.304,106.499,246.406,34.336,1.522,16.39,34.906,55.716,26.647,8.782,15.718,0.894,0,2.08,0,0,13.821,406.394,17.91,66.77,109.108,6.304,7.055,0,0.942,218.934,14.286,126.243,0,96.837,0,31.987
"CIDRb1_CT_IT4var07",6.141,54.213,56.962,18.587,80.458,0,4.443,53.082,8.65,0,14.122,0,0,17.564,2.296,0,25.648,9.618,21.67,4.834,0,5.769,0,1.124,0,3.631,0,3.722,6.993,0,45.911,65.073
"CIDRb1_CT_IT4var09",0,18.176,50.685,17.042,26.585,0.979,1.041,99.131,0,0,1.013,887.873,0,4.894,0,0,22.536,2.094,10.235,1.016,3.961,1.033,1.01,0,0,0,2.476,13.127,6.019,2.918,15.139,7.22
"CIDRb1_CT_IT4var11",16.042,66.521,125.709,41.051,86.853,25.11,124.055,123.323,1.109,2.001,29.509,196.699,0,26.98,0,1089.001,78.362,4.095,9.954,19.018,36.29,20.09,8.893,1.003,4,3.488,0,47.161,11.271,65.154,41.719,438.7
"CIDRb1_CT_IT4var12",0,0,20.562,14.034,67.814,0,15.27,6.735,0,0,0,38.447,0,0,0,48.766,16.041,18.725,9.376,99.024,2.994,0,0,0,0.949,0,0,9.886,0,17.616,1,0
"CIDRb1_CT_IT4var15",0,0,0,51.743,0,1.166,4.855,0,57.212,0,0,407.142,0,0,0.528,2.561,3.997,20.415,9.389,0,0,0.565,0,0.543,0,0.501,2.56,100.598,0,2.366,30.209,0
"CIDRb1_CT_IT4var18",1,11.611,3.385,7.66,28.574,7.903,1.04,0,4.667,3.297,7.332,0,0,19.633,0,1.053,0,7.788,12.149,0,237.675,19.265,5.233,0,12.161,0,4,6.659,31.406,0,1.022,5.199
"CIDRb1_CT_IT4var19",122.703,20.577,453.35,12.205,330.997,112.711,41.936,476.16,61.039,1,12.355,2.77,0,33.253,4.647,5.129,12.851,87.007,32.283,87.779,86.301,6.006,9.903,0,4.699,3.999,1.923,102.434,1.13,0,116.118,117.333
"CIDRb1_CT_IT4var20",8.04,12.092,14.003,9.922,0,10.667,0,3.248,0,15.978,2.503,25.487,0,7.019,0.5,12.409,0,2.218,0,284.331,0,10.02,9.902,0,0,0,0.998,0,5.845,1.364,9.492,0
"CIDRb1_CT_IT4var21",1.297,0,0,0,3.752,0,18.014,0,0,0,4.08,13.027,0,0,0,0,0,0,0,0,141.574,7.449,0,0,0,0,0,0,49.603,0,0,0
"CIDRb1_CT_IT4var22",3.627,7.981,249.537,21.436,20.386,5.52,12.425,1.08,3.347,0,36.29,10.289,3,13.675,2.203,4.364,2.136,17.301,0,58.691,51.076,0,34.375,0,3.515,26.011,11.852,62.113,42.563,4.465,66.424,6.012
"CIDRb1_CT_IT4var25",35.411,34.304,85.965,93.31,654.974,4.33,16.154,6.358,0,0,4.934,2.357,0,7.393,0,32.713,8.271,0,0,105.236,66.135,0,44.041,154.156,1.137,8.714,20.395,43.066,6.064,7.671,2.704,2577.919
"CIDRb1_CT_IT4var26",1.151,3.438,61.408,34.209,10.798,4.926,35.952,6.563,31.984,0,32.053,402.354,0,74.666,5.006,0,46.518,0,2.164,55.091,5.822,13.634,91.826,1,0,6.25,5.106,398.159,5.462,15.991,169.084,3422.913
"CIDRb1_CT_IT4var30",0.997,157.537,376.611,43.402,47.797,5.601,10.432,55.326,4.737,52.102,50.686,73.028,0,124.981,3.225,33.108,41.564,0,180.67,107.526,21.28,16.729,21.167,2.698,4.628,5.584,1.266,12.936,80.263,29.724,4.15,6.343
"CIDRb1_CT_IT4var32b",0,92.364,10.405,4.35,17.966,0,6.004,242.881,0,0,0,1.43,0,14.953,23.145,0,2.001,1.078,80.229,0,20.536,6.258,0,0,0,0,0,0,7.76,1.552,93.585,94.525
"CIDRb1_CT_IT4var36",8.855,115.125,0,30.653,41.756,7.999,21.35,71.152,10.99,4.001,38.128,54.048,3,27.617,18.544,193.885,61.918,12.283,10.033,7.552,31.222,11.504,93.121,153.661,0,0,3.474,67.318,26.991,4.219,47.457,28.721
"CIDRb1_CT_IT4var41",4.826,31.403,34.085,26.033,11.743,25.559,11.376,8.41,0,13.714,35.472,4.248,0,34.795,2,0,10.545,20.338,0,49.848,17.202,3.515,7.105,0,1.993,2.863,37.608,692.677,80.563,25.088,13.747,117.836
"CIDRb1_CT_IT4var45/var61",0,235.554,177.943,30.681,31.661,5.916,4.421,123.017,9.443,0,3.432,133.873,0,16.871,2.597,17.255,0,126.977,176.051,116.948,125.259,5.724,16.917,0,2.993,4.174,2.309,79.714,7.86,11.897,1.874,2292.284
"CIDRb1_CT_IT4var47",6.143,1.375,0,9.455,12.87,42.734,8.217,1.035,480.738,0,13.118,212.884,0,1.065,2.141,278.249,11.77,12.365,4.362,1.043,13.269,6.453,8.557,0,0,30.619,12.152,60.309,22.755,72.958,4.458,0
"CIDRb1_CT_IT4var54",0,0,6.012,0.841,13.492,2.345,7.053,16.325,0,0,2,2.134,0,1.002,5.778,9.751,4.035,1.084,126.194,29.461,12.365,4.184,0,8,0,0,0,0,2,0,9.031,2.008
"CIDRb1_CT_IT4var61",6,1.026,47.004,2.995,123.736,12.698,13.408,13.27,0,0,12.358,7.663,1.255,5.077,1.451,0,4.951,26.92,1.138,57.414,0,60.86,7.925,0,1.002,0,0,54.664,7.307,22.164,1.192,70.573
"CIDRb1_CT_IT4var63",8.001,37.251,484.898,13.572,115.691,6.926,10.287,22.053,2.197,0,16.362,3.552,2.435,15.95,7.002,4.501,8.988,146.795,28.229,22.768,1.041,7.368,0,0,0,2.001,9.971,3.257,0,6.317,48.539,94.441
"CIDRb1_CT_ITvar32",0,0,72.192,0,0,0,0,0,0,0,0,1.009,0,0,0,4.007,0,11.388,0,39.453,54.533,0,0,0,0,0,11.61,0,0,0,0,37.811
"CIDRb1_CT_ITvar59",1.297,114.559,559.638,28.803,3.752,49.867,18.014,491.449,5.8,0,4.08,13.027,3,38.348,11.007,14.143,0,28.053,29.895,120.906,141.574,7.449,0,2.998,0,15.717,0,166.134,49.603,19.162,9,7.455
"CIDRb1_CT_ITvar66",0,22.751,157.218,19.947,119.377,11.686,65.231,20.085,0,0,5.651,105.385,0,53.943,10.791,8.228,22.876,1.122,3.655,198.74,879.025,0,13.856,79.744,0,3.713,23.089,34.856,34.643,222.128,9.664,6.375
"CIDRb1_CT_MAL6P1.1",5.514,6.017,5.172,32.013,72.034,17.451,2.083,12.66,23.047,44.333,3.731,191.122,0,26.921,0,554.275,48.112,4.384,37.334,47.635,16.87,1.231,1.518,0.629,0,0,1.121,15.052,27.702,14.026,151.687,0
"CIDRb1_CT_MAL6P1.252",4.854,2.04,49.863,42.715,16.674,3.013,6.195,13.438,1,0,19.365,9.533,0,12.358,0,3.648,3,8.003,10.143,33.037,5.863,5.646,65.62,0,0,4.003,0,0,9.803,22.347,41.685,46.839
"CIDRb1_CT_MAL7P1.212",0,23.639,79.031,309.926,88.651,31.043,34.485,42.326,85.757,1,31.712,16.138,1.001,7.065,1.001,30.658,38.679,22.877,28.577,116.302,63.82,7.341,15.752,3.016,5.819,16.043,0,29.349,15.533,4.035,186.85,22.041
"CIDRb1_CT_MAL7P1.56",0,19.634,498.992,55.631,83.739,7.027,9.368,0,9.98,0,35.412,3.161,0,20.662,0,0,6.963,4.094,45.687,12.586,4.911,0,24.044,1.001,4.23,13.664,3,5.059,28.243,15.44,136.911,21.382
"CIDRb1_CT_MAL8P1.220",32.096,13.816,277.44,34.794,147.071,30.682,20.907,117.805,162.319,22.541,15.656,136.822,0,42.305,4.841,186.094,36.952,668.109,5.212,91.278,5.396,16.118,45.854,1.033,0,149.984,1,68.127,7.341,71.643,143.665,7.001
"CIDRb1_CT_PF07_0051",126.495,35.921,1147.708,42.271,43.897,7.361,10.858,257.335,3.07,4.094,17.709,4.215,0,20.91,12.419,0,2.063,4.667,0,3.889,15.969,0,1.131,1,6.005,3,0,0,50.348,25.331,4.274,5.037
"CIDRb1_CT_PF07_0139",63.416,88.828,69.582,73.145,0,12.998,2.688,15.733,100.615,28.187,27.962,91.981,0,37.021,6.431,26.475,5.911,0,0,17.215,8.893,0,10.252,3,6.705,2.512,0,0,0,7.96,1.593,166.816
"CIDRb1_CT_PF08_0103",0,227.81,19.289,155.939,80.094,252.996,109.028,99.107,13.999,0,138.481,36.454,0,11.474,47.786,15.03,24.362,1.022,53.285,152.195,56.546,34.037,2,1,0.987,9.919,0,149.041,20.933,12.154,16.103,240.096
"CIDRb1_CT_PF08_0106",6.206,27.893,555.312,21.253,6.301,29.931,26.038,188.126,359.972,0,46.912,183.502,11.683,141.143,4.927,0.701,141.552,96.316,33.778,44.007,45.442,16.009,98.474,2.792,3.677,31.497,2.035,48.172,30.121,79.11,64.026,13.719
"CIDRb1_CT_PF08_0140",0,58.094,193.102,138.902,238.889,19.683,6.359,155.368,0,2.221,79.38,0,0,18.578,10.014,7.998,0,12.358,228.836,281.009,23.446,9.676,9.398,0.905,0,22.024,0,12.59,85.449,7.274,90.452,22.007
"CIDRb1_CT_PF08_0142",0,13.188,585.033,93.829,180.22,14.993,87.958,316.696,2.963,2.055,39.74,3.221,0,69.53,0,10.537,124.55,4.488,72.834,163.03,219.727,75.226,2.128,10.941,0,0,1.03,82.227,16.946,77.302,37.977,2385.693
"CIDRb1_CT_PF10_0406",4.146,49.627,18.975,19.256,0,3.574,35.179,17.035,0,1,11.329,18.307,3.82,15.495,0,6,34.68,24.973,77.018,65.369,42.091,380.701,4.484,2.6,2,1.03,119.347,6.504,6.036,14.104,9.348,4367.409
"CIDRb1_CT_PF11_0007",19.792,29.524,148.563,56.499,128.964,5.427,268.949,10.74,0,0,8.566,1076.948,0.992,24.871,0,5.476,4.608,16.614,78.02,45.305,95.317,5.919,2.629,188.964,0,52.068,11.835,6.536,0,300.28,25.984,151.947
"CIDRb1_CT_PF13_0001",3.001,1.047,8.717,81.555,47.644,18.399,1.892,57.661,14.543,0,17.521,4.29,1,42.715,9.262,8.295,3.071,45.339,28.319,5.523,92.869,3.557,34.525,0,3.784,0,0,93.358,2.812,0,23.483,11.301
"CIDRb1_CT_PFA0005w",8.859,4.898,16.966,48.726,112.475,14.912,5.996,46.378,16.254,0,30.77,0,0,46.24,3.221,0,10.247,104.535,15.626,281.875,146.934,2.057,42.757,1.001,0,21.996,7,75.815,108.437,47.277,3.466,42.266
"CIDRb1_CT_PFA0765c",59.71,5.182,24.921,81.542,29.741,41.795,15.085,5.206,149.88,0,47.904,23.081,2.893,2.362,31.315,3.133,17.89,110.95,33.625,101.685,190.465,8.55,16.014,4.141,1,0,1.191,34.503,14.5,15.414,217.229,2733.737
"CIDRb1_CT_PFB1055c",0,67.928,863.771,5.705,2.785,15.897,23.272,84.286,85.661,20.715,2.002,14.927,5.004,36.338,16.408,4234.092,32.873,18.133,204.973,38.681,136.88,4.644,75.788,0,1.111,46.538,0,76.214,8.688,49.63,51.109,11.199
"CIDRb1_CT_PFC0005w",24,37.411,96.231,45.448,0,663.745,18.997,71.497,144.999,0,0,17.01,0,18.984,22.829,6.991,59.233,4.955,247.674,108.079,716.414,2.153,1,1.088,1,5.998,32.998,6.124,7.236,0,17.349,56
"CIDRb1_CT_PFCLINvar11",31.019,16.87,396.14,33.507,371.503,28.907,21.744,61.398,24.98,26.929,46.753,5.065,20.917,18.646,2.002,3.456,5.893,15.307,81.594,83.561,8.733,7.836,28.185,1,0,3.503,4.657,79.938,0,6.653,85.684,12.082
"CIDRb1_CT_PFCLINvar21",5.203,0,26.473,59.877,287.399,2.527,4.155,17.773,0,4.187,29.436,0,0,5.54,0,7.516,0,18.901,18.902,60.265,8.001,3.114,20.297,26.622,0,0,0,0,46.78,2.08,116.876,247.412
"CIDRb1_CT_PFCLINvar23",16.005,12.597,115.221,6.127,41.864,30.28,9.187,72.523,1.089,0,18.127,0,0,146.119,11,48.977,32.582,6.964,31.624,61.152,23.867,18.463,57.731,0,0,7.003,3.018,500.666,17.666,7.954,55.559,5.127
"CIDRb1_CT_PFCLINvar24",73.189,43.567,198.544,20.639,28.045,92.501,8.247,40.004,35.993,0,24.102,393.595,26.114,53.805,4.294,15.435,106.465,17.411,6.483,227.454,414.699,50.315,38.329,185.454,4.751,0,30.566,69.564,78.592,155.757,63.19,174.172
"CIDRb1_CT_PFCLINvar27",0,0,0,38.232,11.771,0,0,4.002,0,3.376,3.039,29.872,0,0,0,0,29.161,0,57.45,69.325,0,1.001,0,0,0,0.992,0,3.271,1.193,0,0,0
"CIDRb1_CT_PFCLINvar32",0,0,240.45,14.171,25.358,5.463,22.921,188.887,0,11.306,6.035,1.807,1,54.373,0,0,8.882,2.015,1.854,0,78.381,12.499,39.124,0,3.611,77,2.018,4.379,37.165,0,33.01,0
"CIDRb1_CT_PFCLINvar36",4.018,198.905,94.828,71.629,110.369,3.644,15.111,83.153,8.059,3.514,46.892,0,0,15.508,2.896,70.955,140.244,0,87.809,165.258,140.048,9.555,0,2.218,2.502,0,20.831,231.06,45.685,1.096,227.717,2.212
"CIDRb1_CT_PFCLINvar37",0,0,0,9.817,0,0,2.021,9.017,0,0,1.093,358.637,0,1.155,1.134,0,0,3.973,1,3.002,6.751,1.997,0.992,2.158,0,0,0,6.195,0,67.25,0,641.46
"CIDRb1_CT_PFCLINvar41",15.499,54.293,113.905,58.96,33.536,15.122,32.517,7.226,13.002,0,16.975,121.247,0,22.812,0,18.209,37.944,8.07,18.763,110.021,19.095,5.067,5.688,2.01,0,1.528,0,37.017,0,82.18,184.699,40.454
"CIDRb1_CT_PFCLINvar45",6.42,0,37.217,20.444,4.885,5.497,9.083,62.979,0,8.149,13.998,4,8.683,16.099,1.001,3.004,76.34,12.989,130.753,72.832,47.456,14.168,0,16.918,1.005,4.046,1,37.585,11.983,4.125,1.978,3.034
"CIDRb1_CT_PFCLINvar47",1.074,9.26,92.185,45.029,16.147,8.939,118.416,238.285,92.93,12.464,11.019,18.532,0,16.567,3.351,2928.439,8.315,57.103,49.567,42.073,63.273,23.26,21.4,3.011,0,58.729,0,12.118,13.705,139.593,75.476,40.215
"CIDRb1_CT_PFCLINvar53",11.596,0,43.977,0,21.273,9.48,29.763,11.468,163.45,0,35.331,240.198,0,12.037,0,13.89,0,9.04,86.566,81.748,21.108,24.637,7.608,1.065,2.172,4.672,0,4.139,0,0,1.217,95.965
"CIDRb1_CT_PFCLINvar55",28.012,44.147,437.215,21.72,36.656,9.881,15.09,41.762,9.979,0,62.587,541.482,3.013,21.397,0,37.059,66.416,74.917,30.487,54.131,64.694,19.189,46.392,1.014,4.687,0,26.968,96.756,23.512,26.178,0,9.659
"CIDRb1_CT_PFCLINvar63",0,44.132,274.365,75.024,163.577,5.469,15.83,33.013,1.123,2.768,9.908,3,1,11.911,0,31.78,0,17.307,80.807,26.249,31.476,1.168,1.218,25,1.329,0,0,6.162,13.23,18.349,10.808,1156.667
"CIDRb1_CT_PFCLINvar77",10.002,96.06,400.853,45.196,80.67,3.036,126.179,113.471,38.428,0,40.142,115.394,0,80.545,3,3,35.676,49.412,5.281,16.43,50.038,15.091,2.576,8.997,8.158,1.576,2.738,811.593,14.401,6.307,64.908,11.798
"CIDRb1_CT_PFD0005w",70.187,9.309,141.977,15.528,77.883,2.02,24.699,46.158,0,0,40.285,17.996,0,19.934,0,656.214,4.951,102.297,0,216.638,30.772,10.154,55.653,137.999,2.219,29.812,0,64.178,18.552,4.087,190.682,3.568
"CIDRb1_CT_PFD0615c",154.046,48.443,81.446,93.21,16.643,15.608,14.779,35.132,334.074,4.366,8.965,9.752,0,73.882,9.776,184.193,4.163,46.596,39.44,8.999,26.886,12.33,84.816,4.079,15.222,21.37,6.725,145,4.985,2.072,9.531,1.336
"CIDRb1_CT_PFD0625c",16.217,64.878,214.282,16.44,162.938,7.559,45.08,120.977,26.647,44.646,71.384,639.629,1,28.957,2.42,74.455,14.729,10.371,129.966,37.616,151.369,16.681,114.458,1.811,0,0,45.976,135.712,44.18,69.496,20.085,59.505
"CIDRb1_CT_PFD1015c",0,1.035,55.662,9.37,7.777,3.176,1.041,343.41,0,0.836,85.113,0,0,26.4,0,0,3.861,9.351,93.202,42.597,371.36,0.936,32.079,0,0,0,6.094,343.133,7.361,0,7.741,0
"CIDRb1_CT_PFD1245c",2.881,283.835,455.118,7.02,0,14.478,32.89,0,0,1.192,22.269,0,0,150.685,0,0,4,0,0,55.543,8,5.028,22.32,0,0,182.707,0,2.012,203,38.386,0,0
"CIDRb1_CT_PFE0005w",10.783,35.548,208.354,24.045,243.58,56.026,30.885,68.791,108.053,3.026,49.557,48.8,0,69.679,7.254,66.379,87.797,134.548,90.509,26.765,12.725,25.514,107.566,5.739,15.694,0,4.011,19.981,8.376,3.311,57.322,8.518
"CIDRb1_CT_PFL0005w",95.433,103.551,51.236,48.603,18.313,1072.947,12.32,156.93,4.885,0,10.647,65.907,3.232,24.957,4.104,0,90.756,11.863,78.204,268.034,32.652,8.96,19.622,0,0,8.691,0,229.922,34.027,50.226,10.202,123.113
"CIDRb1_CT_PFL1950w",130.628,39.577,209.894,67.336,10.204,1.204,108.753,67.271,83.802,40.597,3.235,0,1.588,28.28,9.427,0,0,38.086,8.024,0,1.287,0,14.753,0,2.504,23.812,5,88.395,11.798,3.303,0,54.996
"CIDRb1_CT_PFL1955w",1.131,8.204,2.504,63.244,661.032,0,6.559,66.523,11.613,0,7.352,0,0,7.614,24.281,17.64,26.073,18.273,100.327,63.306,91.707,0,50.523,1,1.724,35.472,21.779,98.36,104.086,9.705,18.697,67.955
"CIDRb1_CT_PFL1960w",41.365,18.358,206.491,32.252,216.975,18.848,7.548,37.728,0,0,42.266,296.643,0,8.474,17.977,0,0,3.136,33.603,54.839,2.091,0.998,16.234,3.011,3.542,1.001,1.344,85.352,0.749,28.195,10.648,29.428
"CIDRb1_CT_PFL2665c",0,11.791,244.74,49.052,120.093,19.511,34.201,108.127,15.882,1.502,25.43,130.553,0.942,42.036,0,2.104,0,84.93,20.465,87.913,22.958,13.775,29.962,0,1.003,2.125,0,552.356,249.376,8.299,61.096,16.187
"CIDRb1_CT_PREICHvar37",0,0,7.013,1.026,1.011,16.813,2.008,0,0,0,1.286,0,0.864,1.338,0,0,2.541,6.214,1.062,10.89,1.002,2.846,0,0,0,0,0,1.001,1.001,2.025,0,219.654
"CIDRb1_CT_PREICHvar38",0,6.802,30.429,3.013,1.013,4.057,4.19,0,0,0,4.647,0.953,1,7.043,0,0,2.089,15.093,6,6.399,11.286,2.018,4.473,1.926,0,0,0,0,36.278,0.811,6.878,3.164
"CIDRb1_CT_PREICHvar90",0,0,28.427,4.075,2.621,2.659,3.147,0,0,0,0,0,0,2.909,0,21.775,49.664,0,20.755,41.034,1.008,0,13.532,0,0,1.024,0,2.893,28.708,0,4.232,8.217
