"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"NTSA3_D1_PFCLINvar34",0,0,0,0,1,2,0,0,0,2,2,1,0,5,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,156,183.549,2
"NTSA3_D1_PFI1820w",0,0,0,0,0,0,1,0,0,0,0,0,0,13.772,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"NTSA3_D1_RAJ116var05",0,0,0,6,1,2.006,0,1,0,0,9.989,2,0,7.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.341,0
"NTSA3_D1_RAJ116var17",0,1,0,0,1.313,9.938,1,24.86,0,0,7.005,1,3,7.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,418.169,0
"NTSA4_D1_AAQ73927",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"NTSA4_D1_DD2var03",0,4.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA4_D1_PFCLINvar05",0,0,0,0,0,0,4.397,0,0,0,0,0,0,152.769,0,0,0,0,0,0,0,0,0,1,0,15.509,0,0,0,0,0,0
"NTSA4_D1_PREICHvar29",0,0,0,0,0,0,0,0,0,1,0,0,0,11.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA4_D1_PREICHvar71",0,0,0,0,0,0,0,27.465,0,0,0,2.758,0,0,0,0,0,1.971,1.764,0,46.99,0,0,0,0,0,0,0,0,1,0,0
"NTSA4_D1_RAJ116var07",0,34.563,0,0,3,0,0,0,0,0,0,0,0,2.191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NTSA5_D1_DD2var04",0,0,0,0,0,0,3.466,113.756,0,0,3,0,0,0,0,0,8,0,0,48.931,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA5_D1_DD2var42",0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.94,0,0,0,0,0,0,0,0,3,0,0
"NTSA5_D1_DD2var52",0,0,0,0,0,0,2.792,0,0,0,4,2,0,1.001,0,0,0,0,0,12.01,97.996,0,0,0,0,0,0,0,0,0,3.001,0
"NTSA5_D1_HB3var01",0,0,0,0,1.002,6,0,153.074,0,0,0,0,0,0,0,0,1,1.354,0,5.846,0,1,0,0,1,0,0,0,0,0,0,1
"NTSA5_D1_IGHvar23",0,0,0,1.001,0,3,0,8.538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.096
"NTSA5_D1_PF08_0141",3,0,0,1,4.998,0,57.534,27.926,0,0,0,2,0,54.859,0,0,0,0,0,2.174,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA5_D1_PFCLINvar69",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,27.725,0,0,0,0,0,0,0,0,0,0,0
"NTSA5_D1_PFCLINvar75",0,0,0,0,0,0.5,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,19.339,0,3,0,0,4.755,0,0,0,2,2,0
"NTSA5_D1_PREICHvar43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.206,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA6_D1_AAQ73928",0,0,0,0,0,0,2.978,8.057,0,0,0,0,0,0,5.464,0,0,0,0,2,21,0,0,0,0,0,0,1,0,1,0,0
