,Genotype,Stage,Sample,CIDR2,Count,CountN
41,AA,Ring,AA09,CIDRb,6236.671000000001,29.929318069359738
42,AA,Ring,AA09,CIDRg,1906.6409999999996,9.149827677791903
43,AA,Ring,AA09,CIDRpam,437.00100000000003,2.097135142390592
44,AA,Ring,AA09,CIDRd,2.0,0.00959785054217538
45,AA,Ring,AA10,CIDRa,3304.0000000000005,51.76247790616391
46,AA,Ring,AA10,CIDRb,1111.9360000000001,17.42026714075916
47,AA,Ring,AA10,CIDRpam,113.99900000000001,1.785977820467548
48,AA,Ring,AA10,CIDRg,44.14,0.6915241449086182
49,AA,Ring,AA10,CIDRd,4.0,0.06266643814305556
50,AA,Ring,AA11,CIDRa,7723.994999999995,22.630433962877213
51,AA,Ring,AA11,CIDRb,4209.930999999997,12.334622884112381
52,AA,Ring,AA11,CIDRg,2462.970999999998,7.216227168451255
53,AA,Ring,AA11,CIDRpam,1941.0,5.6869110249222965
54,AA,Ring,AA11,CIDRd,44.05700000000001,0.12908203968315388
55,AA,Mixed,AA12,CIDRa,29903.003999999994,43.64383008148434
56,AA,Mixed,AA12,CIDRb,14885.183999999997,21.725123042073946
57,AA,Mixed,AA12,CIDRg,9434.009,13.769060987424343
58,AA,Mixed,AA12,CIDRpam,38.0,0.055461502901059875
59,AA,Mixed,AA12,CIDRd,2.0,0.002919026468476836
60,AA,Ring,AA13,CIDRpam,423.00000000000006,24.650378380394383
61,AA,Ring,AA13,CIDRa,392.9969999999999,22.901949769172216
62,AA,Ring,AA13,CIDRb,321.749,18.749963578046128
63,AA,Ring,AA13,CIDRg,97.254,5.667489122947695
64,AA,Ring,AA13,CIDRd,1.0,0.05827512619478577
65,AA,Ring,AA14,CIDRa,7028.003999999998,28.418939408858098
66,AA,Ring,AA14,CIDRb,5998.977000000003,24.257892266158844
67,AA,Ring,AA14,CIDRpam,2866.9999999999995,11.593206162830324
68,AA,Ring,AA14,CIDRd,1596.4950000000001,6.455701315984584
69,AA,Ring,AA14,CIDRg,1045.5259999999998,4.227763678618534
70,AA,Trophozoite,AA15,CIDRa,1886.0020000000004,38.97502811014093
71,AA,Trophozoite,AA15,CIDRb,1033.8600000000001,21.365153675314396
72,AA,Trophozoite,AA15,CIDRg,536.65,11.090098968774756
73,AA,Trophozoite,AA15,CIDRpam,20.999000000000002,0.4339532064572834
74,AA,Trophozoite,AA15,CIDRd,1.021,0.021099396342344222
75,AA,Trophozoite,AA16,CIDRb,36048.09099999999,25.07431764003912
76,AA,Trophozoite,AA16,CIDRa,26150.99499999999,18.190099310198555
77,AA,Trophozoite,AA16,CIDRg,17356.417999999998,12.072770733554032
78,AA,Trophozoite,AA16,CIDRpam,305.0,0.21215178579669955
79,AA,Trophozoite,AA16,CIDRd,0.0,0.0
80,AS,Mixed,AS01,CIDRa,8831.001000000002,49.590094201514255
81,AS,Mixed,AS01,CIDRpam,4282.001,24.045386583126668
82,AS,Mixed,AS01,CIDRb,3876.701000000001,21.76944242007271
83,AS,Mixed,AS01,CIDRg,2250.3560000000007,12.636774248688548
84,AS,Mixed,AS01,CIDRd,27.0,0.15161730175785107
85,AS,Ring,AS02,CIDRa,15732.000000000004,53.92288102563434
86,AS,Ring,AS02,CIDRb,6782.708999999996,23.24836069403121
87,AS,Ring,AS02,CIDRg,932.8019999999998,3.197264891080202
88,AS,Ring,AS02,CIDRpam,672.9989999999999,2.306766145904581
89,AS,Ring,AS02,CIDRd,1.824,0.006251928234856154
90,AS,Mixed,AS03,CIDRa,14859.998999999998,37.57743803939023
91,AS,Mixed,AS03,CIDRb,11222.839000000002,28.37991692654571
92,AS,Mixed,AS03,CIDRg,1692.5859999999998,4.2801514011770365
93,AS,Mixed,AS03,CIDRpam,428.00000000000006,1.082311208827068
94,AS,Mixed,AS03,CIDRd,41.501000000000005,0.10494625578862651
95,AS,Ring,AS04,CIDRb,11703.119999999994,28.251345805672873
96,AS,Ring,AS04,CIDRa,10777.005000000005,26.015703077851537
97,AS,Ring,AS04,CIDRpam,2223.0009999999997,5.366327097163545
98,AS,Ring,AS04,CIDRg,1367.9869999999999,3.3023222691611323
99,AS,Ring,AS04,CIDRd,1255.701,3.0312637296318634
100,AS,Ring,AS05,CIDRb,19480.822000000007,28.872025847375987
101,AS,Ring,AS05,CIDRa,17442.999,25.8518207282913
102,AS,Ring,AS05,CIDRg,6140.195999999999,9.100226757369608
103,AS,Ring,AS05,CIDRpam,3113.0,4.613697330784163
104,AS,Ring,AS05,CIDRd,1328.325,1.9686763594326613
105,AS,Trophozoite,AS06,CIDRa,6865.999999999999,57.111970905335355
106,AS,Trophozoite,AS06,CIDRb,2512.0180000000005,20.895178987719014
107,AS,Trophozoite,AS06,CIDRg,513.1510000000001,4.268433583169785
108,AS,Trophozoite,AS06,CIDRpam,15.0,0.12477127346053457
109,AS,Trophozoite,AS06,CIDRd,3.0,0.024954254692106916
110,AS,Ring,AS07,CIDRa,7086.000000000002,31.27647476788276
111,AS,Ring,AS07,CIDRb,4589.688999999999,20.258155828525123
112,AS,Ring,AS07,CIDRg,906.0319999999999,3.9990808618253384
113,AS,Ring,AS07,CIDRpam,661.001,2.917553076212993
114,AS,Ring,AS07,CIDRd,8.0,0.035310725111919565
115,AS,Trophozoite,AS08,CIDRa,4439.998999999998,22.804308022377604
116,AS,Trophozoite,AS08,CIDRb,2952.946,15.16664534326424
117,AS,Trophozoite,AS08,CIDRg,13.06,0.06707755176797374
118,AS,Trophozoite,AS08,CIDRpam,2.001,0.01027734924101956
119,AS,Trophozoite,AS08,CIDRd,1.0,0.005136106567226167
120,AS,Ring,AS09,CIDRa,1451.0029999999992,34.913416830205165
121,AS,Ring,AS09,CIDRb,366.9169999999999,8.828600742443946
122,AS,Ring,AS09,CIDRg,288.0809999999999,6.931682452663665
123,AS,Ring,AS09,CIDRpam,178.0,4.282960266640747
124,AS,Ring,AS09,CIDRd,26.000000000000004,0.6256009378239293
125,AS,Trophozoite,AS10,CIDRa,18886.0,36.92855404140751
126,AS,Trophozoite,AS10,CIDRg,13253.183999999997,25.914482768437853
127,AS,Trophozoite,AS10,CIDRb,4407.280000000001,8.617731528942842
128,AS,Trophozoite,AS10,CIDRpam,24.000999999999998,0.046930118900128215
129,AS,Trophozoite,AS10,CIDRd,0.0,0.0
130,AS,Ring,AS11,CIDRa,2013.002,30.216176791327403
131,AS,Ring,AS11,CIDRg,1575.033,23.64204088231148
132,AS,Ring,AS11,CIDRb,1089.1529999999998,16.34873666335384
133,AS,Ring,AS11,CIDRpam,368.00100000000003,5.523880888039494
134,AS,Ring,AS11,CIDRd,0.0,0.0
135,AS,Trophozoite,AS12,CIDRa,18993.936999999998,31.113119694553788
136,AS,Trophozoite,AS12,CIDRb,14581.745999999994,23.88570672070676
137,AS,Trophozoite,AS12,CIDRg,3101.144,5.0798454507902875
138,AS,Trophozoite,AS12,CIDRpam,64.0,0.10483554096506915
139,AS,Trophozoite,AS12,CIDRd,3.0,0.004914165982737617
140,AS,Trophozoite,AS13,CIDRa,13408.997,46.03157858312099
141,AS,Trophozoite,AS13,CIDRb,4901.101000000002,16.824928503251435
142,AS,Trophozoite,AS13,CIDRg,751.7410000000002,2.5806423042419926
143,AS,Trophozoite,AS13,CIDRpam,149.00199999999998,0.5115071076563141
144,AS,Trophozoite,AS13,CIDRd,4.0,0.013731550117617595
145,AS,Ring,AS14,CIDRa,6391.995000000002,30.810739054864435
146,AS,Ring,AS14,CIDRb,5462.422000000002,26.33000477152293
147,AS,Ring,AS14,CIDRpam,2698.0020000000004,13.00492813143664
148,AS,Ring,AS14,CIDRg,826.521,3.984002311385663
149,AS,Ring,AS14,CIDRd,8.0,0.03856165601489291
150,AS,Trophozoite,AS15,CIDRa,18866.001,34.6572146127051
151,AS,Trophozoite,AS15,CIDRb,6673.537000000001,12.259418624796433
152,AS,Trophozoite,AS15,CIDRg,6395.883,11.749362770030176
153,AS,Trophozoite,AS15,CIDRpam,38.0,0.06980674681840596
154,AS,Trophozoite,AS15,CIDRd,1.8359999999999999,0.003372768083120877
155,AS,Trophozoite,AS16,CIDRa,99103.00799999999,49.83280971249895
156,AS,Trophozoite,AS16,CIDRb,53765.218,27.035222561004645
157,AS,Trophozoite,AS16,CIDRg,7453.767000000001,3.7480411548386527
158,AS,Trophozoite,AS16,CIDRd,43.96900000000001,0.022109306815882593
159,AS,Trophozoite,AS16,CIDRpam,37.0,0.01860502518109704
